"transaction_id","user_id","transaction_date"
164519,17,2018-07-06
164519,17,2018-07-06
164586,17,2018-07-09
166425,17,2018-07-20
166425,17,2018-07-20
167990,17,2018-07-26
168399,17,2018-07-27
169111,17,2018-08-01
169111,17,2018-08-01
169473,17,2018-08-03
170716,17,2018-08-16
170717,17,2018-08-10
170717,17,2018-08-10
174527,17,2018-09-04
179675,17,2018-10-03
179675,17,2018-10-03
180118,17,2018-10-05
180118,17,2018-10-05
189801,17,2018-11-28
196715,17,2019-01-14
196715,17,2019-01-14
145765,18,2018-03-06
148709,18,2018-03-26
171620,18,2018-08-17
171620,18,2018-08-17
175732,18,2018-09-11
175732,18,2018-09-11
182931,18,2018-10-22
145374,20,2018-03-02
145565,20,2018-03-02
145610,20,2018-03-03
145644,20,2018-03-05
145753,20,2018-03-06
145944,20,2018-03-07
146267,20,2018-03-09
146513,20,2018-03-11
146718,20,2018-03-13
146885,20,2018-03-14
146954,20,2018-03-13
147106,20,2018-03-14
147263,20,2018-03-15
147548,20,2018-03-19
147618,20,2018-03-19
148257,20,2018-03-21
148439,20,2018-03-22
148645,20,2018-03-24
148694,20,2018-03-26
149231,20,2018-03-28
149812,20,2018-04-03
150165,20,2018-04-05
150380,20,2018-04-06
150507,20,2018-04-06
150669,20,2018-04-07
150910,20,2018-04-11
150933,20,2018-04-12
151589,20,2018-04-14
152064,20,2018-04-17
152274,20,2018-04-18
152665,20,2018-04-19
152741,20,2018-04-20
152826,20,2018-04-20
152974,20,2018-04-21
153036,20,2018-04-22
153379,20,2018-04-24
153476,20,2018-04-25
153605,20,2018-04-25
153847,20,2018-04-26
153897,20,2018-04-27
153961,20,2018-04-27
154341,20,2018-04-30
154450,20,2018-04-30
154806,20,2018-05-03
154906,20,2018-05-04
154938,20,2018-05-03
155183,20,2018-05-07
155263,20,2018-05-07
156410,20,2018-05-14
156518,20,2018-05-16
156802,20,2018-05-17
157090,20,2018-05-17
157594,20,2018-05-21
157766,20,2018-05-22
157918,20,2018-05-23
158132,20,2018-05-24
158314,20,2018-05-30
158445,20,2018-06-01
158732,20,2018-06-02
159001,20,2018-06-04
159165,20,2018-06-05
159167,20,2018-06-04
159583,20,2018-06-07
